resn,cause,lon,lat,occu_year,sgg_cd
기타(직접입력),unknown,128.32834176836886,38.19100739819257,2015,42810
등산객실화,human,127.72975557717126,38.14041850317871,2015,42790
등산객실화,human,129.11102986170374,37.51317092938309,2015,42170
기타(직접입력),unknown,128.44560559976958,38.335653786440034,2015,42820
등산객실화,human,128.83492664041722,37.555029227019894,2015,42150
쓰레기소각,human,127.37618128645616,38.19383520891446,2015,42780
농산폐기물소각,human,127.56298244635919,37.74909278093348,2015,42110
등산객실화,human,128.2146640115823,37.93744358002258,2015,42810
농산폐기물소각,human,128.18263592759996,37.48342697050002,2015,42730
등산객실화,human,127.57757485949747,37.832136620808335,2015,42110
전기누전추정,grid_electric,127.90038185173151,37.491997811667154,2014,42730
원인미상,unknown,128.47222762237215,37.67278547103723,2014,42760
작업장실화(용접 불티),work_spark,127.60373945995734,37.67499267144371,2014,42720
입산자실화,human,127.3368566365785,38.17648030787575,2014,42780
전기누전 추정,grid_electric,128.0108347464796,37.86853757678571,2014,42720
농산부산시물 소각,human,128.6208710439516,37.252850998948134,2018,42770
원인미상(조사중),unknown,127.82700979494437,37.62671788801127,2017,42720
주택내 쓰레기 소각,human,129.05733827582412,37.273861700481746,2017,42230
입산자 실화,human,127.78179183747682,37.87846584055192,2017,42110
입산자 실화,human,128.9930755851756,37.59798548162549,2017,42150
풍등,human,127.7079478058394,37.701497480752145,2017,42720
작업장실화,human,128.19292936311453,37.63538205873548,2015,42730
등산객실화,human,128.0581886281982,37.47280147653574,2015,42730
등산객실화,human,127.5341805718882,38.12375968487915,2015,42790
등산객실화,human,127.6764040934582,38.193685867095006,2015,42790
논밭두렁소각,human,128.8862724555954,37.3864465670981,2015,42230
등산객실화,human,129.12220732928944,37.14445360295777,2015,42230
등산객실화,human,128.52330502094338,37.3192574417403,2015,42760
등산객실화,human,128.35592022725436,37.35865219305361,2015,42760
등산객실화,human,128.80331618321046,37.58786996292372,2015,42150
담뱃불실화,human,128.08986349461085,37.453096107937576,2015,42730
입산자실화,human,127.84543073799205,37.17176719869165,2014,42130
농산폐기물소각 추정,human,127.72296027120454,38.10463962695876,2014,42790
굴뚝불씨연소,unknown,127.86275447875171,37.80175640910086,2014,42720
농산폐기물소각,human,128.54573972651204,37.13069181034746,2014,42750
폐축사 화재,unknown,127.78149503410694,37.25659400016882,2018,42130
성묘객 실화추정,human,128.37611201922164,37.35387799764969,2018,42760
(화목)보일러 재투기,human,127.97710696014815,37.57213200176957,2018,42730
원인미상,unknown,129.08545599337472,37.20871199710657,2018,42230
주택화재 비화,unknown,129.19317603336546,37.275058001839305,2018,42230
쓰레기 소각,human,127.92090377456569,37.43129723977817,2017,42130
쓰레기 소각,human,128.17399386507213,37.78679995849347,2017,42720
입산자 실화,human,128.99194155196093,37.72864832778257,2017,42150
등산객 쓰레기 소각,human,128.99194155196093,37.72864832778257,2017,42150
등산객실화,human,127.89650121953564,37.688280076740625,2015,42720
농산폐기물소각,human,129.1630297402403,37.36624812780397,2015,42230
농산폐기물소각,human,128.43733148718215,37.21563045527664,2015,42750
등산객실화,human,128.38525022128087,37.83866492544987,2015,42720
산나물채취객실화,human,128.7189715645539,37.98898256002318,2015,42830
등산객실화,human,128.82309510947312,37.48598898608608,2015,42770
등산객실화,human,128.76969305060962,37.5982129479157,2015,42150
산나물채취객실화,human,128.80753512094233,37.666678817056045,2015,42150
논밭두렁소각,human,127.76023110284805,37.77073219513511,2015,42110
등산객실화,human,127.67268443936129,37.91634838022217,2015,42110
등산객실화,human,127.94931982262213,37.49471304879319,2015,42730
산나물채취객실화,human,128.33142137282587,37.604082766854,2015,42760
산나물채취객실화,human,128.78831126369369,37.57763898106229,2015,42150
담뱃불실화,human,128.81388710831632,37.816433473075776,2015,42150
산나물채취객실화,human,128.73639618611995,37.887297673122184,2015,42150
산나물채취객실화,human,128.28664080507014,37.169215999588495,2015,42750
담뱃불실화,human,128.00112261078533,38.090479087143834,2015,42800
쓰레기소각,human,128.1123358395899,37.732397904546964,2015,42720
작업장실화,human,128.98270444538895,37.58019240175088,2015,42150
쓰레기소각,human,127.58813913707026,38.137175709462966,2015,42790
농산폐기물소각,human,127.56793719414028,37.73613549844939,2014,42110
논밭두렁소각,human,127.9739374343312,37.303558461658426,2014,42130
논밭두렁소각,human,127.90786014680874,37.250903150445545,2014,42130
논밭두렁소각,human,128.0896468209643,37.468273045031225,2014,42730
주택화재 비화,unknown,128.68285399007212,37.15217100274685,2018,42750
(화목)보일러 재투기,human,127.83755296210798,37.749900000928825,2018,42110
입산자 실화,human,128.07811299170538,38.13428699715539,2018,42800
주택화재로인한 산화,unknown,128.88955516913816,37.69704637917072,2017,42150
쓰레기 소각,human,128.46685920040267,38.07769742423108,2017,42830
풍등,human,128.72910285415972,38.02122024745227,2017,42830
입산자 실화,human,128.84407059169425,37.84306973550718,2017,42150
(화목)화목보일러 재처리 부주의,human,127.68604346561447,37.89041088700043,2017,42110
기타(직접입력),unknown,127.39839931837825,38.15056219777247,2016,42780
기타(직접입력),unknown,127.99763966276575,37.46410600003941,2016,42730
기타(직접입력),unknown,128.85352607871187,37.70437520320134,2016,42150
기타(직접입력),unknown,128.94371405862853,37.34973309912737,2016,42230
기타(직접입력),unknown,127.61854657044852,38.300727101727325,2015,42780
기타(직접입력),unknown,128.73717646277572,37.51960741686438,2015,42770
입산자실화,human,128.38665051514576,38.00246421746048,2015,42810
입산자실화,human,128.3748912087505,38.363240483883786,2015,42820
입산자실화추정,human,127.65940913609255,38.17114685132755,2015,42790
캠핑장이용객 실화추정,human,127.41597279078692,38.24641710091714,2015,42780
입산자실화(노숙자 모닥불),human,127.91619947708581,37.42033132527557,2015,42130
작업자실화추정,human,128.19668072774104,38.12721158692988,2015,42810
입산자실화추정,human,127.65660190082968,37.81961356081419,2015,42110
쓰레기소각,human,127.56308063221974,37.81808727346642,2015,42110
창고화재,unknown,128.5288840080154,37.39701964749946,2015,42760
입산자실화,human,127.86356484896952,37.6737732260079,2013,42720
입산자실화,human,129.08079059294667,37.325408949757275,2013,42230
쓰레기소각,human,129.03370638547634,37.130204275760924,2013,42190
입산자실화,human,128.7365234773957,37.979844182420834,2013,42830
입산자실화,human,127.79396562654412,37.60186493968618,2013,42720
입산자실화,human,127.69525523969547,37.69603416248987,2013,42720
입산자실화,human,127.7881133719627,37.87845119150223,2013,42110
주택화재 비화,unknown,128.55197601087747,38.10418500154381,2018,42830
주택화재 비화,unknown,128.63067804173986,38.068723000586886,2018,42830
입산자 실화,human,128.02765803579445,37.43075100024355,2018,42130
영농부산물 소각,human,128.57497279231941,38.06615101482561,2017,42830
기타(직접입력),unknown,127.74887711630902,38.00060549953515,2016,42110
기타(직접입력),unknown,127.85736207176419,37.21212439898852,2016,42130
등산객실화,human,127.85474914209728,37.41162640229287,2016,42730
기타(직접입력),unknown,127.80177899322237,37.45371239849648,2016,42730
등산객실화,human,127.88011505043801,37.29902855033751,2016,42130
등산객실화,human,127.88232373822709,37.29625250392978,2016,42130
기타(직접입력),unknown,127.65722236719641,37.83990879855152,2016,42110
기타(직접입력),unknown,127.65500981665164,37.84261525358963,2016,42110
농산폐기물소각,human,128.58782759420362,37.26764192093542,2016,42770
쓰레기소각,human,128.07886955283766,37.83341832742896,2016,42720
기타(직접입력),unknown,128.13399305328014,37.98930945171688,2016,42810
농산폐기물소각,human,128.76242406299355,37.84467140972354,2016,42150
농산폐기물소각,human,128.76268241846927,37.862066299056956,2016,42150
주택화재비화,unknown,128.15088757899707,38.0355437982052,2016,42810
주택화재비화,unknown,128.148629933025,38.038235530861684,2016,42810
기타(직접입력),unknown,127.70624424073458,38.03898724527871,2016,42790
기타(직접입력),unknown,128.477878833993,38.21162618430459,2016,42820
주택화재비화,unknown,128.64512555662284,38.08577034094472,2015,42830
원인미상,unknown,128.46611476652674,38.348814706140665,2015,42820
쓰레기소각,human,128.1613792726949,37.24021424982424,2015,42130
입산자실화추정,human,129.09646835061122,37.46097921085484,2015,42230
원인미상,unknown,127.54128885089993,37.77601686143561,2015,42110
입산자실화추정,human,128.16764987270415,37.814754080547715,2015,42720
입산자실화,human,128.55764716509762,37.34560231908067,2015,42760
농산폐기물소각,human,127.85300596128845,37.16472097527953,2015,42130
입산자실화추정,human,129.01801775819683,37.24971987278364,2015,42230
담뱃불실화,human,128.26738137453626,37.66380067705505,2015,42720
쓰레기소각,human,127.89775850160729,37.987505065312526,2013,42110
쓰레기소각,human,128.73025853677274,37.92625924989085,2013,42830
농산폐기물소각,human,127.66623220000156,37.70090720444963,2013,42110
쓰레기소각,human,129.23683424600523,37.343441162561916,2013,42230
주택화재,unknown,128.7191951552281,38.016901067004774,2017,42830
석재공장 급수용 펌프모터 과열,unknown,127.79931554321873,37.2502326644716,2017,42130
쓰레기 소각,human,127.8959724711594,37.64965724833568,2017,42720
쓰레기 소각(생활),human,128.4539801440058,37.11655453931625,2017,42750
입산자 실화,human,128.71585611731703,37.51524818561158,2017,42770
등산객실화,human,129.17578258333975,37.169584699550164,2016,42230
기타(직접입력),unknown,129.25117899361967,37.213102107161454,2016,42230
쓰레기소각,human,128.59009934372565,37.62929370711612,2016,42760
쓰레기소각,human,127.98223122002337,38.07765189909322,2016,42800
산업현장실화(용접),work_spark,127.67585836692312,37.84089172113566,2016,42110
입산자 실화추정,human,127.99841329188843,37.37634581441117,2016,42130
영농부산물 소각 실화,human,128.58742775407066,38.12546736417374,2016,42830
입산자 실화추정(조사중),human,128.63263511141787,37.262350051850675,2016,42770
예초기 과열로 인한 실화,work_spark,128.77026860121214,37.2737267468023,2016,42770
배추묘종비닐 화구 작업중 실화,human,128.63172412988825,37.26014770040629,2016,42770
군사훈련(신호탄),unknown,129.24695385751235,37.36755045807204,2016,42230
(화목)보일러 불티,human,128.30200307440694,37.3395709591048,2016,42750
기타(직접입력),unknown,128.304246616829,37.33679330277969,2016,42750
입산자 실화(조사중),human,128.92730381468132,37.36218727132387,2016,42230
산나물 채취자 실화추정,human,128.40101933760982,37.66805801543466,2016,42760
취사행위,unknown,128.69052138051666,37.852308825216326,2016,42150
쓰레기소각,human,128.0560658193503,37.97565719886767,2016,42810
입산자 실화추정,human,129.33146044241462,37.23077984634248,2016,42230
입산자 실화추정(조사중),human,129.07864433806986,37.42680808475742,2016,42230
입산자실화추정,human,128.00624785880734,37.748959252035405,2015,42720
군부대 진지보수,unknown,128.13326011783985,38.161640459476374,2015,42810
쓰레기소각,human,127.34483825770947,38.27423807786197,2015,42780
용접작업 비화,work_spark,128.00216402769422,37.867462406557415,2015,42720
재로인한 발화,unknown,128.224483495953,37.60086566639718,2015,42730
쓰레기소각추정,human,127.79942432919962,38.070954112789956,2015,42790
건축폐기물 소각,human,128.3270306772117,37.28507146835799,2015,42750
농산폐기물소각,human,127.7233016310125,38.10263201541627,2015,42790
담뱃불실화 추정,human,128.10827464602193,37.25306821157476,2014,42130
입산자(수렵인)실화 추정,human,128.60885437022748,37.511126137277756,2014,42770
입산자실화 추정,human,129.01941913004006,37.20766808758629,2014,42230
농산폐기물소각,human,127.6371593936409,38.148968447234346,2014,42790
입산자실화 추정,human,128.70135290688646,38.02640183963424,2013,42830
담뱃불실화 추정,human,128.85233913472695,37.739768824987756,2013,42150
산업현장실화 추정,human,128.9813232856396,37.308987490266425,2013,42190
입산자 실화,human,128.12159225994054,37.74525906538633,2017,42720
입산자 실화,human,128.36536646162455,37.31564376171753,2017,42760
입산자 실화,human,128.09794536772748,37.6189614902531,2017,42730
입산자 실화(조사중),human,128.60766428213907,38.0192035094583,2017,42830
담뱃불 추정,human,127.69310107964417,37.9585260196476,2016,42110
입산자 실화추정,human,128.49917384696067,38.33670431171407,2016,42820
기타(직접입력),unknown,128.50147569004469,38.33404089856909,2016,42820
입산자 실화추정,human,127.99376702557592,37.636868025214675,2016,42720
논밭두렁소각,human,127.78378214482031,37.19232240112561,2016,42130
논밭두렁 소각추정,human,127.7815844164777,37.195110887058185,2016,42130
입산자 실화추정,human,127.68698274407555,38.06282543976801,2016,42790
농산폐기물 소각,human,128.283050149048,37.426266877496694,2016,42760
사유 임도변 차량화재(영월군수 사용허가지),unknown,128.53175044225551,37.14735740452443,2016,42750
주택화재비화,unknown,127.92674992060321,37.62872273427774,2015,42720
입산자실화추정,human,127.52207801922289,38.04316986360945,2015,42790
밭두렁소각,human,129.2372819663428,37.19437480072233,2015,42230
창고화재,unknown,128.9955470301853,37.093611586769676,2015,42190
쓰레기소각추정,human,129.06004346247076,37.47224434675604,2015,42170
주택화재비화,unknown,127.97836028963256,38.04353110152312,2015,42800
쓰레기소각,human,127.75878795934415,37.62881393513051,2015,42720
쓰레기소각,human,128.07028291636288,38.21271510236271,2015,42800
담뱃불실화추정,human,128.85802160771968,37.7747662596461,2015,42150
입산자실화,human,127.78755237406774,37.879616838335096,2013,42110
방화 추정,unknown,128.88771092785984,37.7610954826032,2013,42150
담뱃불실화,human,127.880186107177,37.69732496112382,2013,42720
농산폐기물소각,human,127.65792161581358,37.813774578123535,2013,42110
입산자 실화,human,127.37119330100955,38.181412662000014,2017,42780
쓰레기 소각,human,128.15274484584697,37.742760224347855,2017,42720
입산자 실화,human,128.78180296946024,37.587517045100725,2017,42150
논밭두렁 소각,human,128.16504448888563,37.35320887897841,2017,42730
용접작업 실화,work_spark,127.69019646700448,37.70693035503522,2016,42720
쓰레기소각,human,127.94241429337005,37.4766099029141,2016,42730
쓰레기 소각,human,127.94019293933547,37.47936692512029,2016,42730
입산자 실화추정,human,128.0144066277123,38.1047188459343,2016,42800
쓰레기 소각추정,human,128.5568806326657,37.65922178643802,2016,42760
입산자실화추정,human,128.06042246881523,37.66399442011804,2015,42720
농산폐기물소각,human,128.77013421324563,37.84516015593636,2015,42150
조사중,unknown,127.78318656178693,37.921260251755136,2015,42110
조사중,unknown,127.7565961598824,37.96513240228479,2015,42110
담뱃불실화,human,128.84639058074703,37.75983886877258,2015,42150
주택화재비화,unknown,128.56524349880323,38.09998865738029,2014,42830
담뱃불 실화추정,human,127.47706739292295,38.15880694914677,2017,42780
입산자 실화추정,human,127.55062046023981,38.051937110497235,2017,42790
입산자 실화,human,128.2311857364563,38.04498448228156,2017,42810
조사중,unknown,127.83931339057025,37.851528507159586,2017,42110
입산자 실화,human,128.9698230533723,37.630882333874304,2017,42150
담뱃불 실화추정,human,127.819483709494,37.2899197182161,2017,42130
쓰레기 소각(녹차티백),human,128.44366568791352,37.68769256718552,2017,42760
조사중,unknown,127.64066300291202,37.90580586459478,2017,42110
입산자 실화추정,human,127.51411337625085,38.108138561048165,2016,42790
잔디소각,human,128.08494638624015,37.26032159385928,2016,42130
쓰레기소각,human,128.46954947501555,38.332457373263345,2015,42820
농산폐기물소각,human,128.17989229305917,37.57577463669214,2015,42730
잔디소각,human,127.79196831234142,37.90493073718075,2015,42110
팬션화재비화,unknown,128.74662718872233,37.51881241867397,2015,42770
입산자실화추정,human,128.2609188943823,38.14158400505176,2015,42810
쓰레기소각,human,128.21833776176825,38.00608175140967,2015,42810
입산자실화 추정,human,127.70218574211245,38.009008408246714,2013,42110
원인미상,unknown,129.19905200347043,37.26560396130585,2013,42230
낙뢰 추정,natural,129.18566459045425,37.06662153608411,2013,42230
입산자실화,human,128.048252273009,38.105671149269554,2013,42800
입산자실화 추정,human,127.77823873103354,37.87863036208463,2013,42110
입산자실화,human,127.66528519602905,37.850861480501564,2013,42110
입산자실화,human,127.75083885722648,37.61479691731814,2013,42720
입산자실화,human,127.7924573551821,38.1428520723247,2013,42790
입산자실화,human,129.10402003804717,37.413899477094354,2013,42230
담뱃불실화,human,128.14337182417248,37.35836559580499,2013,42730
입산자실화,human,128.46673011249638,38.14594595122353,2013,42210
입산자 실화,human,128.24097665440095,37.898639545769974,2017,42810
입산자 실화추정,human,127.50411782208445,38.01870374649947,2017,42790
입산자 실화추정,human,128.83060277946015,37.38476937461437,2017,42770
입산자 실화추정,human,128.04850326229942,38.2197127351814,2017,42800
